rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,top-100-stars,build-your-own-x,486455,45768,Markdown,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,245,2026-02-21T09:34:54Z,Master programming by recreating your favorite technologies from scratch.
2,top-100-stars,awesome,452310,33982,,https://github.com/sindresorhus/awesome,sindresorhus,15,2026-04-02T16:30:33Z,😎 Awesome lists about all kinds of interesting topics
3,top-100-stars,freeCodeCamp,441599,44111,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,123,2026-04-06T00:18:00Z,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
4,top-100-stars,public-apis,419451,45620,Python,https://github.com/public-apis/public-apis,public-apis,3,2026-03-18T16:28:22Z,A collective list of free APIs
5,top-100-stars,free-programming-books,385054,66086,Python,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,36,2026-03-31T21:15:26Z,:books: Freely available programming books
6,top-100-stars,developer-roadmap,352300,43869,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,1,2026-04-03T15:34:48Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
7,top-100-stars,openclaw,349155,69935,TypeScript,https://github.com/openclaw/openclaw,openclaw,10624,2026-04-06T03:59:45Z,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 
8,top-100-stars,system-design-primer,341532,55217,Python,https://github.com/donnemartin/system-design-primer,donnemartin,246,2026-03-20T01:52:19Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
9,top-100-stars,coding-interview-university,340309,81882,,https://github.com/jwasham/coding-interview-university,jwasham,73,2025-08-28T14:42:47Z,A complete computer science study plan to become a software engineer.
10,top-100-stars,awesome-python,290882,27585,Python,https://github.com/vinta/awesome-python,vinta,0,2026-04-04T09:28:06Z,"An opinionated list of Python frameworks, libraries, tools, and resources"
11,top-100-stars,awesome-selfhosted,284321,13091,,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,0,2026-04-05T10:45:12Z,A list of Free Software network services and web applications which can be hosted on your own servers
12,top-100-stars,996.ICU,275816,20916,,https://github.com/996icu/996.ICU,996icu,0,2025-08-22T06:01:29Z,Repo for counting stars and contributing. Press F to pay respect to glorious developers.
13,top-100-stars,project-based-learning,262431,34128,,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,145,2024-08-15T05:33:54Z,Curated list of project-based tutorials
14,top-100-stars,react,244426,50979,JavaScript,https://github.com/facebook/react,facebook,825,2026-04-03T04:20:02Z,The library for web and native user interfaces.
15,top-100-stars,linux,227128,61474,C,https://github.com/torvalds/linux,torvalds,0,2026-04-05T22:33:32Z,Linux kernel source tree
16,top-100-stars,Python,219306,50307,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,175,2026-04-02T06:46:58Z,All Algorithms implemented in Python
17,top-100-stars,the-book-of-secret-knowledge,213543,12769,,https://github.com/trimstray/the-book-of-secret-knowledge,trimstray,0,2024-11-19T14:00:38Z,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more."
18,top-100-stars,vue,209884,33837,TypeScript,https://github.com/vuejs/vue,vuejs,359,2024-10-10T07:24:15Z,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
19,top-100-stars,computer-science,203004,25235,HTML,https://github.com/ossu/computer-science,ossu,15,2026-03-27T18:00:43Z,🎓 Path to a free self-taught education in Computer Science!
